PLAYER,TEAM,POSITION,CLUSTER,PC1,PC2,PC3,PC4,PC5,PC6
Nikola Vucevic,ORL,C,1,2.0022839832630086,2.2248876699373534,0.5474474212621858,3.014511888165547,0.6380877406668801,0.9611893484669973
John Wall,WAS,G,7,-0.9880270078233264,1.748409175149607,-1.9987374948850976,0.47360366801900067,-1.9738593177013977,-0.056175425051444905
Buddy Hield,SAC,G,5,-0.8619907620115174,1.1463484699039483,1.886353790006025,-0.551441900038158,0.5671465702988931,0.18701360115943957
Nikola Jokic,DEN,C,1,1.3203235876716708,2.430060515970271,-0.22225144614558529,1.6557942174758715,-0.3303448117754533,0.46009699441905266
Tobias Harris,PHI,F,5,-0.19336638430322697,1.4495591423117968,1.004438115101709,0.6544751887416542,0.42739454757484563,-0.5502612886318686
Lou Williams,LAC,G,7,-1.2532863059400254,1.0568586937570772,-1.3507468178087632,0.5086848101854351,0.814884136494359,-1.4578124943285853
Danilo Gallinari,LAC,F,5,-0.07605216135205964,1.1304644932979617,1.1611931139592686,1.4173269043498398,0.4907718005826286,-0.13564046503678687
John Collins,ATL,F-C,5,1.5633630304514736,1.0033313439721445,1.0609669591079907,-0.3342332631064147,-0.869181777002434,-1.081469503214273
Trae Young,ATL,G,7,-1.227366817365938,1.4700848959933703,-1.7860810001418042,-0.12555572525145375,0.2717069981846575,0.06491123083223001
Victor Oladipo,IND,G,8,-1.448514721917147,1.7998233289030912,-0.2214665961818229,-0.24732878939366404,-1.208182507033545,0.7512027157775335
Lauri Markkanen,CHI,F,1,0.5411521273794275,1.0155250271849148,1.8170924153729524,1.789911223914604,-0.32469758245732777,0.025978527180898985
Jimmy Butler,PHI,G-F,8,-0.4333119659314641,1.4882092485551321,-0.1965988532269595,-0.8782857476374452,-0.13130930810266972,0.2732818621231514
Kyle Kuzma,LAL,F,5,0.10776300851793812,0.9676358527746183,1.2176740499601533,0.2783581316894483,0.2612674222459422,0.21982791640139365
Khris Middleton,MIL,F,7,-0.7925347091614072,1.405669794494572,0.17802965962406192,0.38784994267384854,0.7129904118231065,-0.7686817959438792
Brandon Ingram,LAL,F,7,-0.41083227982301407,1.195939001109492,-0.1645639607755757,0.013534897161768497,0.21069871439516755,-0.8544805534851331
Jamal Murray,DEN,G,7,-0.9507835609665565,1.476221687715901,0.07089010906163005,0.01711224032229957,1.3196764628118725,0.28581238530258213
Andrew Wiggins,MIN,F-G,5,-0.501406090592239,1.1369906771495917,0.8863459499584139,0.09437287876522533,-0.556340107838462,-0.1839084561579103
Tim Hardaway Jr.,DAL,G,5,-0.8748000379415266,0.7417016921923312,1.6746784502596037,0.5581535925521637,0.1390449423352954,0.31086622588103524
JJ Redick,PHI,G,3,-1.2324997953005368,0.34759017078791715,1.8569065147084602,0.07776450282549728,3.8355629173132146,1.2002365087249245
Derrick Rose,MIN,G,7,-1.0326617007020331,1.0733205390610205,-0.7953957282703218,0.18645012849076328,0.9924175043540281,-0.8316324974587902
T.J. Warren,PHX,F,5,-0.42719037496616236,0.7640057710721635,1.3569846270064971,0.16126902169486051,-0.7373648652395854,-0.5568990561704046
Bojan Bogdanovic,IND,F,5,-0.6475902252468172,0.7528496315403616,1.5670316760327612,-0.2644596808228455,1.4096046679630925,-0.5706351512932318
Andre Drummond,DET,C,2,2.745549436384638,1.589518208696883,-0.27082327620583146,-1.0389353488697297,-1.1079202954049325,1.0894391179058422
De'Aaron Fox,SAC,G,7,-0.9593842182574911,1.4046513051080303,-1.0438756352493108,-0.9516557721239309,-1.2964611623096192,-1.2147290157283106
Kevin Love,CLE,F-C,1,0.6588977666669713,0.5881052134055759,1.6357703650878517,2.1895435236610883,-0.549367849749929,0.18399272745208142
Pascal Siakam,TOR,F,5,0.2480464944997457,1.312356577179305,0.8217649290320893,-1.4567852910563313,-0.690540580313748,-1.153998216670871
Ben Simmons,PHI,G-F,7,0.6225070529048344,1.8265556336914242,-1.5341135392643095,-1.8045765323445124,-1.3749387986337351,-0.5755546101263789
Jordan Clarkson,CLE,G,7,-0.7099523689386273,0.8256504745508578,0.10818752589613906,0.34956356322355214,1.201502156122071,-1.4337781855782947
Spencer Dinwiddie,BKN,G,8,-0.9253694334695743,0.7099239979144732,-1.3624406774761555,0.28199188592863333,0.9177653834601549,0.5308681612765649
Collin Sexton,CLE,G,8,-0.9831795248886058,0.866188835695222,-0.10937648339996102,0.2617941419249763,-0.20242558922985504,-0.19467257472137006
Clint Capela,HOU,C,2,2.8701417466407038,1.1520386993126512,-0.41908875449439287,-2.6809470446340824,0.2075841679341993,2.1395389598413006
Montrezl Harrell,LAC,F-C,2,1.9870948314831485,1.1025236696924035,-0.2121761186598981,-0.5402305096161204,0.41409537435625354,0.2630803137085195
Josh Richardson,MIA,G-F,8,-1.048854797916151,1.1675957458941553,0.4181332679253834,-0.5533458440556914,0.5492244009358125,1.9558452208622161
Harrison Barnes,SAC,F,5,-0.054592731414231745,0.5181815305107803,1.273939670995986,0.7209811630820809,-0.784846350694251,-0.4175424613209127
Deandre Ayton,PHX,C,1,2.478476003732183,1.5470847077248338,-0.3982510400326167,0.3394944564120657,0.5768324138609023,0.27224134576915204
DeMarcus Cousins,GSW,C,8,1.0659937927882766,1.444849754243651,0.363563405303803,0.4772012234431833,-1.6329515440629854,1.5790336728369352
Eric Gordon,HOU,G,5,-0.8213686467592161,0.07621936934833305,1.3838179278246414,-0.1742879624966283,0.40944876172813943,0.15225271219955822
Aaron Gordon,ORL,F,5,0.1402698133489593,1.0356836863335541,0.600326923311505,0.14267456581276047,0.4781137111197379,0.2758159143173608
Eric Bledsoe,MIL,G,8,-0.7407117935655453,1.2992019026896715,-0.6130579936953064,-1.9425894641766581,0.06413543383821733,0.8080416057657526
Rudy Gobert,UTA,C,2,3.128526978178131,1.276017048910413,-0.4796286629240906,-2.1269861018120237,1.0366875763699626,2.1052484509423377
Jayson Tatum,BOS,F,5,-0.3258723590919853,0.9435424733731073,1.2496082679970135,-0.44175644335134295,-0.8192620079176502,-1.6448946448771247
Malcolm Brogdon,MIL,G,8,-0.7168820515085869,0.8335891749194168,0.2365576507759057,-1.51155168878116,1.3863831162685538,1.7610246389134978
Jusuf Nurkic,POR,C,1,2.207121402771117,1.123891937647969,-0.6167732932799441,1.0491264284867086,0.006829734792455555,0.9636878197475801
Chris Paul,HOU,G,7,-0.9788703207916436,1.540415451466106,-2.1681359146635564,0.9599775512703714,-1.2862608806869713,-1.0785396246020145
Jonas Valanciunas,MEM,C,1,2.3674566503594447,1.1446911381707676,0.04967505474779746,2.3892591334223137,1.0515017849677015,-0.17470937387790494
Dennis Schroder,OKC,G,8,-0.9008278070311799,0.8535303552152224,-0.7511927082484706,0.37635895218867804,0.05416739992845214,0.32067618443814694
Reggie Jackson,DET,G,8,-1.0090511176695252,0.667766259439696,-0.4120377780445508,0.7566132991445877,0.12418000675288537,0.0012345674474403946
Jeremy Lamb,CHA,G,5,-0.8552031963948296,0.7653352252273207,0.5985468328747123,-0.05550714074910277,0.04544502263187132,-0.43121305944193905
Kelly Oubre Jr.,PHX,F,5,-0.3209737171522184,0.48783664568169716,1.2400195192382215,-1.014085773960459,-0.9563093637950931,-0.8865452433081623
Nikola Mirotic,MIL,F,5,0.3600895429831959,0.23405275462648123,1.6908273391186073,1.3633333734777544,-0.5459902987844093,1.1682710863478136
Evan Fournier,ORL,G-F,3,-0.9753942411813685,0.7419996811907128,0.19482375615362718,-0.17253678409085746,2.03904203936773,1.503321917049079
Terrence Ross,ORL,G-F,5,-1.1718840133751571,0.5202086382473622,1.6210533852738318,0.20820082224664968,2.1414354682255565,0.12137775418397437
Dwyane Wade,MIA,G,7,-0.7303985079465463,0.8351194179791943,-0.6546941219450109,0.464433491215475,-0.10457207317969162,-1.7139383821352563
Serge Ibaka,TOR,C-F,1,1.73200081760247,0.9780564341242668,0.7082200246988385,1.1090203940771926,0.7744447162093314,0.2419667298738386
Marvin Bagley III,SAC,F,5,1.2242910032202108,0.711018530250602,0.5115743758475689,0.7077117961172211,-0.9739999514522263,-2.0136161370807053
Emmanuel Mudiay,NYK,G,8,-0.8948482601672105,0.8650833202134319,-0.6813553146446447,0.23963642951600103,0.014705076692133006,-0.556576485851383
Jabari Parker,WAS,F,5,0.13438125080799007,0.6076963616419302,0.23195684718283105,0.0444128820148113,-1.0008153108469289,-1.1962933133636957
Kyle Lowry,TOR,G,8,-0.9914445491269948,1.3661298743058639,-0.7053765795399674,-1.0775814779956319,-0.19503105287596736,1.861319174833425
