PLAYER,TEAM,POSITION,PTS,FG%,3P%,OREB,DREB,AST,STL,BLK,+/-,AST%,AST/TO,OREB%,DREB%,TO RATIO,TS%,USG%,PIE
Davis Bertans,SAS,F,8.0,45.0,42.9,0.3,3.2,1.3,0.5,0.4,3.4,7.9,2.33,1.5,13.9,7.0,63.2,13.5,8.2
Jamal Crawford,PHX,G,7.9,39.7,33.2,0.1,1.2,3.6,0.5,0.2,-5.9,28.3,2.31,0.6,6.1,12.2,52.2,19.8,8.3
Seth Curry,POR,G,7.9,45.6,45.0,0.4,1.3,0.9,0.5,0.2,1.8,6.8,1.08,1.9,6.2,9.9,59.5,16.4,7.1
Josh Hart,LAL,G,7.8,40.7,33.6,0.5,3.2,1.4,1.0,0.6,0.0,7.2,1.6,1.9,10.9,9.0,52.6,13.0,6.3
Garrett Temple,LAC,G-F,7.8,42.2,34.1,0.4,2.5,1.4,1.0,0.4,-1.1,7.5,1.51,1.4,9.2,9.8,54.3,13.1,5.2
James Johnson,MIA,F,7.8,43.3,33.6,0.4,2.8,2.5,0.6,0.5,-1.9,16.7,1.82,1.8,12.3,12.0,52.2,17.7,7.9
Ante Zizic,CLE,C,7.8,55.3,0.0,1.8,3.6,0.9,0.2,0.4,-1.4,7.5,0.87,9.7,19.3,12.1,59.0,17.8,10.3
Mason Plumlee,DEN,F-C,7.8,59.3,20.0,2.0,4.4,3.0,0.8,0.9,0.9,19.9,1.93,9.1,19.8,14.0,60.2,15.9,11.5
Josh Okogie,MIN,G,7.7,38.6,27.9,0.6,2.4,1.2,1.2,0.4,-0.7,6.8,1.44,2.1,9.8,8.6,49.2,14.8,5.1
Maurice Harkless,POR,F,7.7,48.7,27.5,1.3,3.2,1.2,1.1,0.9,4.0,6.8,1.64,5.2,12.8,8.3,54.7,13.5,7.3
Patrick Beverley,LAC,G,7.6,40.7,39.7,1.0,4.0,3.8,0.9,0.6,1.9,18.3,3.53,3.5,13.5,9.3,56.1,12.0,7.9
