PLAYER,TEAM,POSITION,FGM_<5,FG%_<5,FGM_5-9,FG%_5-9,FGM_10-14,FG%_10-14,FGM_15-19,FG%_15-19,FGM_20-24,FG%_20-24,FGM_25-29,FG%_25-29
Myles Turner,IND,C-F,2.1,65.8,0.5,43.6,0.5,48.6,0.8,40.0,0.5,42.5,0.9,38.6
Robert Covington,MIN,F,1.4,64.5,0.2,35.0,0.1,35.7,0.2,30.0,0.9,44.0,1.5,35.1
Cedi Osman,CLE,F,2.1,58.0,0.3,29.4,0.3,44.0,0.3,34.4,0.7,36.7,1.1,35.4
Jaylen Brown,BOS,G,2.6,60.8,0.4,38.2,0.5,42.0,0.3,46.5,0.5,33.0,0.8,34.5
Gary Harris,DEN,G,2.2,54.8,0.4,39.0,0.4,46.0,0.1,22.6,0.9,35.4,0.7,33.3
Kevin Knox II,NYK,F,1.5,45.3,0.5,40.9,0.4,36.1,0.2,25.4,0.8,32.6,1.1,34.2
Ricky Rubio,UTA,G,1.7,55.9,0.3,34.0,0.5,34.8,0.7,42.7,0.8,32.7,0.5,29.3
Thaddeus Young,IND,F,3.8,62.7,0.8,48.2,0.1,35.7,0.1,16.7,0.4,35.3,0.3,35.4
Paul Millsap,DEN,F,2.7,60.5,0.6,37.6,0.4,43.5,0.1,31.6,0.5,37.2,0.4,34.2
Justise Winslow,MIA,F-G,2.1,56.5,0.6,34.5,0.4,35.8,0.3,37.0,0.8,40.2,0.7,37.3
Trevor Ariza,WAS,F,1.9,54.9,0.1,16.0,0.0,21.4,0.1,47.4,1.1,38.7,1.0,29.5
Brook Lopez,MIL,C,1.4,74.2,0.3,41.7,0.3,53.8,0.0,33.3,0.6,40.2,1.7,35.5
Hassan Whiteside,MIA,C,4.3,67.5,0.7,37.5,0.2,27.9,0.1,40.0,0.1,33.3,0.0,14.3
Jeff Green,WAS,F,1.8,71.2,0.4,50.0,0.2,44.2,0.3,41.5,0.6,33.3,0.9,37.6
Wesley Matthews,IND,G-F,1.0,58.4,0.3,31.4,0.4,37.0,0.2,35.5,0.9,41.3,1.3,35.0
Jeff Teague,MIN,G,1.7,51.1,0.8,39.8,0.6,45.5,0.2,40.9,0.5,39.0,0.4,26.3
Joe Ingles,UTA,F,1.6,60.7,0.2,41.3,0.1,35.5,0.0,30.8,1.5,43.9,0.9,33.5
Dion Waiters,MIA,G,1.5,51.6,0.1,57.1,0.0,7.7,0.3,41.9,1.3,40.3,1.3,37.2
